a52dec 0.8.0-2
aalib 1.4rc5-17
accountsservice 23.13.9-1
acl 2.3.1-3
acpi 1.7-3
acpid 2.0.34-1
adapta-maia-theme 3.94.0.149-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alsa-firmware 1.2.4-3
alsa-lib 1.2.10-2
alsa-oss 1.1.8-5
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
amd-ucode 20230810.7be2766d-1
aom 3.7.0-1
apparmor 3.1.6-2
appstream 0.16.3-1
apr 1.7.3-1
apr-util 1.6.3-1
arandr 0.1.11-2
archlinux-appstream-data 20230827-2
archlinux-keyring 20230821-2
argon2 20190702-5
aribb24 1.0.3-3
artwork-i3 20190912-1
at-spi2-core 2.48.4-1
atkmm 2.28.3-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r127+g55d783d-1
b43-fwcutter 019-4
babl 0.1.106-1
base 3-2
bash 5.1.016-3
bashrc-manjaro 5.1.016-3
bc 1.07.1-4
binutils 2.41-3
bison 3.8.2-6
blas 3.11.0-2
blueman 2.3.5-2
bluez 5.69-1
bluez-libs 5.69-1
bluez-utils 5.69-1
bmenu 0.20-1
boost-libs 1.83.0-2
brotli 1.0.9-12
btrfs-progs 6.5.1-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.93-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
chromaprint 1.5.1-7
cifs-utils 7.0-3
ckbcomp 1.215-1
clang 16.0.6-1
clipit 1:1.4.5+21+ge5fa64c-1
cmus 2.10.0-4
compiler-rt 16.0.6-2
confuse 3.3-3
conky 1.18.1-2
conky-i3 20210907-1
coreutils 9.3-1
cpupower 6.3-5
cronie 1.6.1-1
cryptsetup 2.6.1-3.4
cups 1:2.4.6-1
cups-filters 1.28.17-4
cups-pdf 3.0.1-7
curl 8.3.0-1
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
default-cursors 2-1
deluge 1:2.1.1-4
desktop-file-utils 0.26-2
device-mapper 2.03.22-2
dfc 3.1.1-3
dhclient 4.4.3.P1-2
dhcpcd 10.0.2-1
diffutils 3.10-1
ding-libs 0.6.2-1
dmenu-manjaro 5.0-2
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.3.0-1
downgrade 11.3.0-1
duktape 2.7.0-6
dunst 1.9.2-1
e2fsprogs 1.47.0-1
ecryptfs-utils 111-8
efibootmgr 18-2
efivar 38-3
enchant 2.5.0-1
exfatprogs 1.2.1-1
exiv2 0.28.0-3
exo 4.18.0-1
expac 10-5
expat 2.5.0-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.32.1-1
ffmpeg 2:6.0-10
ffmpeg4.4 4.4.4-1
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.45-1
filesystem 2023.09.03-1
findutils 4.9.0-3
flac 1.4.3-1
flex 2.6.4-5
fluidsynth 2.3.3-1
fontconfig 2:2.14.2-1
foomatic-db 3:20230903-1
foomatic-db-gutenprint-ppds 5.3.4-2
foomatic-db-nonfree 3:20230903-1
foomatic-db-nonfree-ppds 3:20230903-1
foomatic-db-ppds 3:20230903-1
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.1-1
fuse2 2.9.9-4
fuse3 3.16.1-1
fzf 0.42.0-1
gawk 5.2.2-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gcolor3 2.4.0-5
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdbm 1.23-2
gdk-pixbuf-xlib 2.40.2-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.46-2
geoip 1.6.12-2
geoip-database 20230901-1
gettext 0.22-1
ghostscript 10.02.0-1
giflib 5.2.1-2
gimp 2.10.34-3
git 2.42.0-1
glib-networking 1:2.76.1-1
glib2 2.78.0-2
glibc 2.38-3
glibmm 2.66.6-1
glslang 12.3.1-2
glu 9.0.3-1
gmp 6.3.0-1
gnome-keyring 1:42.1-3
gnupg 2.2.41-2
gnutls 3.8.1-1
gobject-introspection-runtime 1.78.0-1
gparted 1.5.0-1
gperftools 2.12-1
gpgme 1.22.0-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
graphviz 9.0.0-1
grep 3.11-1
groff 1.23.0-5
grub 2.06.r499.ge67a551a4-4
grub-theme-manjaro 20.2-16
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-libav 1.22.5-2
gst-plugins-bad 1.22.5-2
gst-plugins-bad-libs 1.22.5-2
gst-plugins-base 1.22.5-2
gst-plugins-base-libs 1.22.5-2
gst-plugins-good 1.22.5-2
gst-plugins-ugly 1.22.5-2
gstreamer 1.22.5-2
gtk-update-icon-cache 1:4.12.1-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtk4 1:4.12.1-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.8-1
gtksourceview-pkgbuild 5-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gtksourceview5 5.8.0-1
gts 0.7.6.121130-2
gufw 22.04-2
guile 3.0.9-1
gumbo-parser 0.10.1-2
gupnp 1:1.6.5-1
gupnp-igd 1.6.0-1
gutenprint 5.3.4-2
gvfs 1.50.6-1
gvfs-afc 1.50.6-1
gvfs-gphoto2 1.50.6-1
gvfs-mtp 1.50.6-1
gvfs-smb 1.50.6-1
gzip 1.13-2
harfbuzz 8.2.0-1
harfbuzz-icu 8.2.0-1
haveged 1.9.18-1
hexchat 2.16.1-5
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highlight 4.8-1
highway 1.0.7-1
htop 3.2.2-1
hwdata 0.374-1
hwinfo 23.2-1
hwloc 2.9.1-1
hyphen 2.8.8-5
i3-default-artwork 20190912-1
i3-help 20180110-1
i3-scripts 20220913-1
i3-scrot 2.1-2
i3-wm 4.22-4
i3exit 20201126-1
i3lock 2.14.1-1
i3status-manjaro 2.13-3
iana-etc 20230907-1
icu 73.2-2
ijs 0.35-5
imagemagick 7.1.1.15-4
imath 3.1.9-2
imlib2 1.12.0-1
inetutils 2.4-1
intel-ucode 20230808-1
inxi 3.3.29.1-1
iproute2 6.5.0-1
iptables 1:1.8.9-1
iputils 20221126-2
iso-codes 4.15.0-1
iw 5.19-2
jack2 1.9.22-1
jansson 2.14-2
jasper 4.0.0-1
jbig2dec 0.19-1
jbigkit 2.1-7
jfsutils 1.1.15-8
json-c 0.17-1
json-glib 1.6.6-2
kauth 5.110.0-1
kbd 2.6.2-1
kcoreaddons 5.110.0-1
keyutils 1.6.3-2
kitemmodels 5.110.0-1
kmod 30-3
krb5 1.20.1-1
kvantum 1.0.10-1
kvantum-manjaro 0.13.5+5+g0179d45-1
kwindowsystem 5.110.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.11.0-2
lcms2 2.15-1
ldb 2:2.8.0-1
ldns 1.8.3-2
lensfun 1:0.3.4-3
less 1:643-1
lib32-brotli 1.0.9-12
lib32-bzip2 1.0.8-3
lib32-curl 8.3.0-1
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-flex 2.6.4-4
lib32-gcc-libs 13.2.1-3
lib32-glibc 2.38-3
lib32-icu 73.2-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-libdrm 2.4.116-1
lib32-libelf 0.189-1
lib32-libffi 3.4.4-1
lib32-libglvnd 1.6.0-1
lib32-libidn2 2.3.4-2
lib32-libldap 2.6.6-1
lib32-libpciaccess 0.17-1
lib32-libpsl 0.21.2-1
lib32-libssh2 1.11.0-1
lib32-libunistring 1.1-1
lib32-libunwind 1.6.2-2
lib32-libx11 1.8.6-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.16-1
lib32-libxcrypt 4.4.36-1
lib32-libxdamage 1.1.6-1
lib32-libxdmcp 1.1.4-1
lib32-libxext 1.3.5-1
lib32-libxfixes 6.0.1-1
lib32-libxml2 2.11.5-1
lib32-libxshmfence 1.3.2-1
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 16.0.6-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
